feature,coefficient,abs_coefficient
int_rev_growth_2025_ihs_x_price_to_book_ihs,0.05231290030795904,0.05231290030795904
rev_growth_2025_ihs,0.04849494435281856,0.04849494435281856
price_to_book_ihs,0.03981788202356498,0.03981788202356498
int_debt_to_assets_ihs_x_price_to_book_ihs,-0.03015555700091164,0.03015555700091164
ebit_growth_2025_ihs,0.028081043306546455,0.028081043306546455
int_momentum_2024_ihs_x_valuation_gap_ihs,0.025536395189737778,0.025536395189737778
google_trends_ihs,0.024148514299946067,0.024148514299946067
momentum_2024_ihs,-0.01983998242639858,0.01983998242639858
ev_to_ebitda_ihs,0.017464674707144353,0.017464674707144353
debt_to_assets_ihs,-0.011901195113688276,0.011901195113688276
stock_volatility_ihs,0.0110031770408779,0.0110031770408779
3_mth_momentum_ihs,0.0082792663759938,0.0082792663759938
roic_ihs,0.007034886278243849,0.007034886278243849
earnings_surprise_ihs,-0.0055095311046695974,0.0055095311046695974
int_rev_growth_2025_ihs_x_ev_to_ebitda_ihs,0.005228381887910666,0.005228381887910666
valuation_gap_ihs,-0.004271525220079025,0.004271525220079025
int_ev_to_ebitda_ihs_x_price_to_book_ihs,0.003709375941766318,0.003709375941766318
int_price_to_earnings_ihs_x_rev_growth_2025_ihs,0.002364553231162999,0.002364553231162999
price_to_earnings_ihs,0.0,0.0
