timestamp_utc,target_col,feature_count,train_rmse,val_rmse,test_rmse,train_r2,val_r2,test_r2,best_params_json,suggestions
2026-04-30T19:49:57+00:00,returns_2025_ihs,21,0.326721,0.300576,0.353658,0.337573,0.203109,0.175572,"{""colsample_bytree"": 0.6, ""gamma"": 0.05, ""learning_rate"": 0.02, ""max_depth"": 3, ""min_child_weight"": 8, ""n_estimators"": 300, ""reg_alpha"": 0.01, ""reg_lambda"": 5, ""subsample"": 0.75}",Model balance looks reasonable; tune around current best parameters. | Validation and test differ a lot; consider more robust split or repeated runs with different seeds.
2026-04-30T20:04:52+00:00,returns_2025_ihs,21,0.326721,0.300576,0.353658,0.337573,0.203109,0.175572,"{""colsample_bytree"": 0.6, ""gamma"": 0.05, ""learning_rate"": 0.02, ""max_depth"": 3, ""min_child_weight"": 8, ""n_estimators"": 300, ""reg_alpha"": 0.01, ""reg_lambda"": 5, ""subsample"": 0.75}",Model balance looks reasonable; tune around current best parameters. | Validation and test differ a lot; consider more robust split or repeated runs with different seeds.
2026-04-30T21:20:42+00:00,returns_2025,21,0.898637,0.361695,0.458016,0.152465,0.105560,0.045772,"{""colsample_bytree"": 0.9, ""gamma"": 0.03, ""learning_rate"": 0.03, ""max_depth"": 2, ""min_child_weight"": 8, ""n_estimators"": 500, ""reg_alpha"": 0.001, ""reg_lambda"": 2, ""subsample"": 0.75}",Possible underfitting: allow slightly more complexity (max_depth or lower min_child_weight). | Try reducing regularization a bit if train/val are both high. | Validation and test differ a lot; consider more robust split or repeated runs with different seeds.
2026-04-30T22:26:44+00:00,returns_2025_ihs,21,0.328658,0.303614,0.355362,0.329697,0.186918,0.167608,"{""colsample_bytree"": 0.6, ""gamma"": 0.05, ""learning_rate"": 0.02, ""max_depth"": 3, ""min_child_weight"": 8, ""n_estimators"": 300, ""reg_alpha"": 0.01, ""reg_lambda"": 5, ""subsample"": 0.75}",Model balance looks reasonable; tune around current best parameters. | Validation and test differ a lot; consider more robust split or repeated runs with different seeds.
2026-05-01T21:44:17+00:00,returns_2025,10,1.116319,0.386586,0.439045,0.078781,0.032368,0.082667,"{""colsample_bytree"": 0.9, ""gamma"": 0.03, ""learning_rate"": 0.05, ""max_depth"": 4, ""min_child_weight"": 8, ""n_estimators"": 800, ""reg_alpha"": 0, ""reg_lambda"": 2, ""subsample"": 0.75}",Possible underfitting: allow slightly more complexity (max_depth or lower min_child_weight). | Try reducing regularization a bit if train/val are both high. | Validation and test differ a lot; consider more robust split or repeated runs with different seeds.
2026-05-01T22:44:16+00:00,returns_2025,14,1.093100,0.372501,0.455937,0.116704,0.101593,0.010721,"{""colsample_bytree"": 0.75, ""gamma"": 0.1, ""learning_rate"": 0.05, ""max_depth"": 2, ""min_child_weight"": 8, ""n_estimators"": 800, ""reg_alpha"": 0.01, ""reg_lambda"": 1, ""subsample"": 0.75}",Possible underfitting: allow slightly more complexity (max_depth or lower min_child_weight). | Try reducing regularization a bit if train/val are both high. | Validation and test differ a lot; consider more robust split or repeated runs with different seeds.
2026-05-01T23:45:48+00:00,returns_2025_ihs,18,0.316986,0.329870,0.328604,0.380379,0.165031,0.193159,"{""colsample_bytree"": 0.6, ""gamma"": 0.05, ""learning_rate"": 0.02, ""max_depth"": 3, ""min_child_weight"": 8, ""n_estimators"": 300, ""reg_alpha"": 0.01, ""reg_lambda"": 5, ""subsample"": 0.75}",Model balance looks reasonable; tune around current best parameters.
2026-05-02T08:49:11+00:00,returns_2025_ihs,18,0.274808,0.344933,0.331892,0.489191,0.180323,0.221159,"{""colsample_bytree"": 0.6, ""gamma"": 0, ""learning_rate"": 0.02, ""max_depth"": 4, ""min_child_weight"": 5, ""n_estimators"": 300, ""reg_alpha"": 0.001, ""reg_lambda"": 2, ""subsample"": 0.85}",Model balance looks reasonable; tune around current best parameters.
2026-05-02T13:36:50+00:00,returns_2025_ihs,19,0.304841,0.320500,0.362181,0.366305,0.162990,0.156039,"{""colsample_bytree"": 0.6, ""gamma"": 0.05, ""learning_rate"": 0.02, ""max_depth"": 3, ""min_child_weight"": 8, ""n_estimators"": 300, ""reg_alpha"": 0.01, ""reg_lambda"": 5, ""subsample"": 0.75}",Model balance looks reasonable; tune around current best parameters. | Validation and test differ a lot; consider more robust split or repeated runs with different seeds.
2026-05-02T22:41:13+00:00,returns_2025_ihs,19,0.308943,0.319865,0.363772,0.349136,0.166302,0.148604,"{""colsample_bytree"": 0.6, ""gamma"": 0.05, ""learning_rate"": 0.02, ""max_depth"": 3, ""min_child_weight"": 8, ""n_estimators"": 300, ""reg_alpha"": 0.01, ""reg_lambda"": 5, ""subsample"": 0.75}",Model balance looks reasonable; tune around current best parameters. | Validation and test differ a lot; consider more robust split or repeated runs with different seeds.
2026-05-02T22:57:13+00:00,returns_2025_ihs,19,0.308943,0.319865,0.363927,0.349136,0.166302,0.147879,"{""colsample_bytree"": 0.6, ""gamma"": 0.05, ""learning_rate"": 0.02, ""max_depth"": 3, ""min_child_weight"": 8, ""n_estimators"": 300, ""reg_alpha"": 0.01, ""reg_lambda"": 5, ""subsample"": 0.75}",Model balance looks reasonable; tune around current best parameters. | Validation and test differ a lot; consider more robust split or repeated runs with different seeds.
2026-05-03T21:37:13+00:00,returns_2025_ihs,19,0.288285,0.317272,0.360911,0.433268,0.179762,0.161946,"{""colsample_bytree"": 0.6, ""gamma"": 0, ""learning_rate"": 0.02, ""max_depth"": 4, ""min_child_weight"": 5, ""n_estimators"": 300, ""reg_alpha"": 0.001, ""reg_lambda"": 2, ""subsample"": 0.85}",Possible overfitting: decrease max_depth and/or increase min_child_weight. | Try stronger regularization: increase reg_alpha and reg_lambda. | Lower learning_rate slightly and keep early stopping. | Validation and test differ a lot; consider more robust split or repeated runs with different seeds.
2026-05-06T17:36:43+00:00,returns_2025_ihs,19,0.297591,0.320323,0.362942,0.396089,0.163911,0.152488,"{""colsample_bytree"": 0.6, ""gamma"": 0.05, ""learning_rate"": 0.02, ""max_depth"": 3, ""min_child_weight"": 8, ""n_estimators"": 300, ""reg_alpha"": 0.01, ""reg_lambda"": 5, ""subsample"": 0.75}",Model balance looks reasonable; tune around current best parameters. | Validation and test differ a lot; consider more robust split or repeated runs with different seeds.
